time,percentile_5,percentile_95,vartype,scenario,asset_type,varname,sitename,value
2020-12-31,,,Power,ssp585,Wind,Wind production % change,Eurus,
2021-12-31,,,Power,ssp585,Wind,Wind production % change,Eurus,
2022-12-31,-27.405713812400656,27.529776980319184,Power,ssp585,Wind,Wind production % change,Eurus,-0.7977850360737108
2023-12-31,-29.52697257478207,27.58664546251546,Power,ssp585,Wind,Wind production % change,Eurus,0.1845278298558538
2024-12-31,-30.005007581779708,29.15513034201233,Power,ssp585,Wind,Wind production % change,Eurus,0.9783248093419532
2025-12-31,-30.227341599744776,29.04539750686578,Power,ssp585,Wind,Wind production % change,Eurus,-0.2375656958942071
2026-12-31,-32.14053957597881,29.6737632549611,Power,ssp585,Wind,Wind production % change,Eurus,0.975941149439036
2027-12-31,-32.127327714985654,30.56304745274072,Power,ssp585,Wind,Wind production % change,Eurus,1.0775976463105996
2028-12-31,-31.74483917858251,32.20709900409678,Power,ssp585,Wind,Wind production % change,Eurus,0.9385137936467682
2029-12-31,-33.70535774070367,31.68702349804392,Power,ssp585,Wind,Wind production % change,Eurus,-0.5403531978641656
2030-12-31,-34.43771368443771,31.71645108604311,Power,ssp585,Wind,Wind production % change,Eurus,-1.318002032576805
2031-12-31,-34.019867524404525,33.570594807930036,Power,ssp585,Wind,Wind production % change,Eurus,-1.7614932475639034
2032-12-31,-35.1470480890278,33.228103953660124,Power,ssp585,Wind,Wind production % change,Eurus,-3.84045099926272
2033-12-31,-34.90383201235672,30.026442680358823,Power,ssp585,Wind,Wind production % change,Eurus,-5.6185276150487145
2034-12-31,-32.87284213279693,29.2800165510712,Power,ssp585,Wind,Wind production % change,Eurus,-4.763531500029629
2035-12-31,-35.26249990340198,29.40513511259435,Power,ssp585,Wind,Wind production % change,Eurus,-4.34654369413032
2036-12-31,-36.15801378940781,27.896007726665054,Power,ssp585,Wind,Wind production % change,Eurus,-3.4006344056801043
2037-12-31,-35.11537028046941,29.69183032529985,Power,ssp585,Wind,Wind production % change,Eurus,-0.2102812322085746
2038-12-31,-35.35449244668724,32.021537046179745,Power,ssp585,Wind,Wind production % change,Eurus,1.187743236731723
2039-12-31,-35.50582777737589,32.565259845389384,Power,ssp585,Wind,Wind production % change,Eurus,1.9342626260840845
2040-12-31,-34.74455278640268,32.47643730917945,Power,ssp585,Wind,Wind production % change,Eurus,2.266505560070502
2041-12-31,-33.11296203392039,31.97786655855816,Power,ssp585,Wind,Wind production % change,Eurus,2.5121198811929224
2042-12-31,-33.10124209603068,31.912986730087233,Power,ssp585,Wind,Wind production % change,Eurus,2.2954266633025173
2043-12-31,-31.88470609561861,31.35124052781994,Power,ssp585,Wind,Wind production % change,Eurus,1.6755666215825773
2044-12-31,-32.308525502381045,32.9077169961644,Power,ssp585,Wind,Wind production % change,Eurus,2.5512123732862944
2045-12-31,-31.73613255391248,31.878562758261275,Power,ssp585,Wind,Wind production % change,Eurus,2.431122097506942
2046-12-31,-32.77784775989712,33.7255880432626,Power,ssp585,Wind,Wind production % change,Eurus,2.2564122221533016
2047-12-31,-32.96377474819993,32.538165164167154,Power,ssp585,Wind,Wind production % change,Eurus,2.84621852610217
